mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
44.63177537918091,47.27080864795898,3.200078845024109,2.8079269227884356,,sqrt,1,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.49576597382602,0.5108193083040503,0.4561717352415027,0.48471495455797303,0.4868679929823865,0.019998346072133112,33,0.9992263056092844,0.9986532684139646,0.998947506906986,0.9982715782650967,0.9987746647988329,0.00035414931833262285
146.78397500514984,87.81025469771427,4.817935228347778,1.7507673103875248,,sqrt,1,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.4979811574697174,0.5108815935079306,0.45623460935751065,0.4789198126205566,0.4860042932389288,0.02060794318647836,34,1.0,0.999377980510056,0.9997366688610928,0.9988650489109874,0.999494924570534,0.00042542941577846467
43.61635321378708,20.6343888373892,6.406516373157501,0.6521405830455933,,sqrt,3,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.5278733654507914,0.547885676082233,0.46594551282051283,0.48568747067104645,0.5068480062561459,0.032584268863667464,1,0.7713052858683926,0.7697711952909903,0.7383512544802867,0.7398878063182758,0.7548288854894863,0.01572810034719596
67.75169134140015,24.16371615472092,5.494135677814484,1.6219661785889294,,sqrt,3,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.5269666781174854,0.5456971314209473,0.4640796019900498,0.48564705882352943,0.5055976175880029,0.03235111347294625,2,0.7698412698412699,0.763435746218967,0.7436039020798823,0.7413131213702137,0.7545485098775833,0.012326915935069262
21.485239505767822,5.466728625501478,4.064143896102905,0.3181506302418403,,sqrt,8,200,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 200}",0.5270794668466341,0.5478358089762019,0.46435527853525516,0.4796621471438097,0.5047331753754752,0.033971034631229954,8,0.6135746606334842,0.6100073583517293,0.6073393386131432,0.5892120211681313,0.605033344691622,0.009398494239912784
25.03590339422226,6.026199330728999,2.7850212454795837,0.9029115689888835,,sqrt,8,400,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 400}",0.5278246205733558,0.5484489926447074,0.4644034917555771,0.47975215755698164,0.5051073156326554,0.03425734311517903,4,0.6096586782861293,0.6090481894407076,0.6070738773539353,0.5905661295818527,0.6040867186656562,0.007864355861510504
211.6975817680359,172.66091069753537,6.039341330528259,3.0581144091647032,,0.7,1,200,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.4951474785918173,0.5048508145707487,0.4542656112576957,0.46560561100620446,0.47996737885661656,0.02071510339346665,36,0.9992263056092844,0.9991708126036484,0.9988161010260458,0.9987570926776547,0.9989925779791583,0.00020796251384300258
448.0413432121277,245.06108099086578,4.659266471862793,3.160575651572642,,0.7,1,400,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.49707049707049705,0.5032163205293144,0.45600175554092603,0.46735024284943333,0.4809097039975427,0.019767531818533395,35,0.9998064640990904,0.999377980510056,0.9996708577447173,0.9991350416261218,0.9994975859949964,0.0002603712128243808
196.78807854652405,114.4900267688212,8.88758111000061,1.454623485621337,,0.7,3,200,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.5089123317570026,0.5280447317840293,0.456738768718802,0.4795144157814871,0.4933025620103303,0.02728418602607665,29,0.9385290889132821,0.9363529871144084,0.9392526269974507,0.9367397831950736,0.9377186215550537,0.001207591818093208
337.46172392368317,164.84746995377182,5.128976345062256,2.052306146545876,,0.7,3,400,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.5065693430656935,0.5267028541411312,0.45814244064972925,0.4757085020242915,0.4917807849702113,0.0265899833275567,32,0.939754623695294,0.9373595231115021,0.9406563297839218,0.9382678289238925,0.9390095763786526,0.0012786474644010924
